date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,us_aqi_pm2_5,us_aqi_pm10,us_aqi_nitrogen_dioxide,us_aqi_carbon_monoxide,us_aqi_ozone,us_aqi_sulphur_dioxide
2023-01-01 00:00:00+00:00,34.9,24.4,816.0,88.85,134.6,0.0,104.52082,104.52082,48.659096,43.75985,3.3639293,0.9662955,70.46756
2023-01-01 01:00:00+00:00,29.7,20.8,936.0,86.7,138.05,0.0,102.677086,102.677086,47.696976,42.700943,3.2290664,0.9662955,72.11355
2023-01-01 02:00:00+00:00,32.6,22.8,1105.0,83.65,142.9,0.0,100.458336,100.458336,46.53788,41.19878,3.0438807,0.9662955,74.42748
2023-01-01 03:00:00+00:00,41.2,28.8,1244.0,79.9,144.8,1.0,98.40427,98.40427,45.3106,39.351852,2.8627212,0.9662955,75.33397
2023-01-01 04:00:00+00:00,52.0,36.4,1199.0,78.55,138.4,6.0,96.20567,96.20567,43.969696,38.686962,2.8027377,0.94696975,72.28054
2023-01-01 05:00:00+00:00,75.4,52.7,1080.0,77.65,128.0,12.0,93.90072,93.90072,42.560608,38.243694,2.8482285,0.9856216,67.31871
2023-01-01 06:00:00+00:00,46.1,32.2,935.0,74.65,118.05,23.0,93.73228,93.73228,42.454548,36.766155,2.9907405,1.0435992,62.571568
2023-01-01 07:00:00+00:00,40.3,28.2,863.0,66.85,116.45,36.0,92.491135,92.491135,41.685608,32.924545,3.1352658,1.2175324,61.808212
2023-01-01 08:00:00+00:00,42.6,29.7,803.0,56.75,117.95,51.0,91.26773,91.26773,40.928036,27.95016,3.2922704,1.5074211,62.523853
2023-01-01 09:00:00+00:00,45.4,31.8,825.0,54.15,126.45,60.0,90.47873,90.47873,40.439396,26.66962,3.2870371,2.4930427,66.5792
2023-01-01 10:00:00+00:00,54.2,38.0,981.0,70.25,141.65,47.0,90.08865,90.08865,40.19318,34.599094,3.242351,3.6525972,73.83111
2023-01-01 11:00:00+00:00,72.2,50.4,1217.0,95.75,162.1,24.0,90.31029,90.31029,40.314392,47.158195,3.192432,4.560915,83.5878
2023-01-01 12:00:00+00:00,82.2,57.5,1470.0,134.4,177.0,1.0,91.53369,91.53369,41.060608,69.01018,3.181562,5.005411,90.69657
2023-01-01 13:00:00+00:00,78.9,55.3,1544.0,130.7,177.05,1.0,93.38653,93.38653,42.1856,66.87095,3.2906604,4.9087815,90.72043
2023-01-01 14:00:00+00:00,79.2,55.3,1648.0,125.35,177.1,0.0,95.57624,95.57624,43.50758,63.777752,3.4774556,4.6961966,90.744286
2023-01-01 15:00:00+00:00,81.5,56.9,1731.0,118.9,176.05,0.0,98.07623,98.07623,45.034092,60.04857,3.764493,4.2517004,90.243324
2023-01-01 16:00:00+00:00,80.3,56.2,1716.0,115.7,174.6,0.0,100.77083,100.77083,46.60606,58.19843,4.113929,3.5559676,89.55153
2023-01-01 17:00:00+00:00,75.4,52.7,1659.0,113.2,172.45,0.0,103.25,103.25,47.87879,56.753002,4.4814816,2.570346,88.52576
2023-01-01 18:00:00+00:00,68.2,47.7,1522.0,110.1,166.2,0.0,104.80209,104.80209,48.674248,54.96068,4.8172307,1.4107915,85.54389
2023-01-01 19:00:00+00:00,58.6,41.0,1353.0,108.25,157.1,0.0,105.13543,105.13543,48.84091,53.891075,5.035024,0.5024737,81.2023
2023-01-01 20:00:00+00:00,49.8,34.8,1138.0,106.7,145.3,0.0,104.47917,104.47917,48.492428,52.99491,5.089775,0.038651824,75.572525
2023-01-01 21:00:00+00:00,43.3,30.3,888.0,102.85,130.05,1.0,104.645836,104.645836,48.57576,50.768967,4.956119,0.019325912,68.29676
