date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,cloud_cover,wind_speed_10m,wind_speed_100m
2023-01-01 00:00:00+00:00,34.9,24.4,816.0,88.85,134.6,0.0,-3.5275,95.60787,-4.1275,0.1,100.0,0.82462114,1.6278821
2023-01-01 01:00:00+00:00,29.7,20.8,936.0,86.7,138.05,0.0,-4.1775002,94.86562,-4.8775,0.0,100.0,1.2206556,2.8178005
2023-01-01 02:00:00+00:00,32.6,22.8,1105.0,83.65,142.9,0.0,-5.8275,96.25749,-6.3275,0.0,100.0,1.6401219,3.1906114
2023-01-01 03:00:00+00:00,41.2,28.8,1244.0,79.9,144.8,1.0,-7.2775,96.95935,-7.6775,0.0,100.0,2.2825425,3.3600597
2023-01-01 04:00:00+00:00,52.0,36.4,1199.0,78.55,138.4,6.0,-5.0775,95.18908,-5.7275,0.0,100.0,1.1401755,3.3837848
2023-01-01 05:00:00+00:00,75.4,52.7,1080.0,77.65,128.0,12.0,-4.4775,95.57358,-5.0775,0.0,100.0,1.6970563,2.9410884
2023-01-01 06:00:00+00:00,46.1,32.2,935.0,74.65,118.05,23.0,-4.0775,93.447655,-4.9775,0.0,100.0,1.5811388,2.1931713
2023-01-01 07:00:00+00:00,40.3,28.2,863.0,66.85,116.45,36.0,-3.8274999,94.52365,-4.5775,0.0,100.0,1.6492423,1.8384775
2023-01-01 08:00:00+00:00,42.6,29.7,803.0,56.75,117.95,51.0,-3.6775,94.53032,-4.4275,0.0,100.0,1.5297059,1.8384775
2023-01-01 09:00:00+00:00,45.4,31.8,825.0,54.15,126.45,60.0,-3.7275,94.17295,-4.5275,0.0,100.0,1.0,1.3038405
2023-01-01 10:00:00+00:00,54.2,38.0,981.0,70.25,141.65,47.0,-3.8274999,93.81398,-4.6775,0.0,69.3,0.7,0.98994946
2023-01-01 11:00:00+00:00,72.2,50.4,1217.0,95.75,162.1,24.0,-3.4775,91.0475,-4.7275,0.0,61.5,0.41231057,0.60827625
2023-01-01 12:00:00+00:00,82.2,57.5,1470.0,134.4,177.0,1.0,-4.0775,92.74373,-5.0775,0.0,100.0,1.5811387,1.603122
2023-01-01 13:00:00+00:00,78.9,55.3,1544.0,130.7,177.05,1.0,-3.4775,91.73653,-4.6275,0.0,91.799995,1.0816654,1.0
2023-01-01 14:00:00+00:00,79.2,55.3,1648.0,125.35,177.1,0.0,-3.0275,85.74854,-5.0775,0.0,69.899994,0.4,0.3
2023-01-01 15:00:00+00:00,81.5,56.9,1731.0,118.9,176.05,0.0,-2.8775,81.02594,-5.6775,0.0,19.8,0.2,0.5830952
2023-01-01 16:00:00+00:00,80.3,56.2,1716.0,115.7,174.6,0.0,-2.9775,75.34016,-6.7275,0.0,17.4,0.8062258,0.7
2023-01-01 17:00:00+00:00,75.4,52.7,1659.0,113.2,172.45,0.0,-3.2275,67.04584,-8.4775,0.0,18.6,1.2,0.89442724
2023-01-01 18:00:00+00:00,68.2,47.7,1522.0,110.1,166.2,0.0,-3.3775,56.58337,-10.7775,0.0,10.799999,1.104536,1.0630146
2023-01-01 19:00:00+00:00,58.6,41.0,1353.0,108.25,157.1,0.0,-3.4775,51.59282,-12.0275,0.0,17.1,1.4764823,1.3453624
2023-01-01 20:00:00+00:00,49.8,34.8,1138.0,106.7,145.3,0.0,-3.5275,50.349026,-12.3775,0.0,26.099998,1.6124516,1.4866068
2023-01-01 21:00:00+00:00,43.3,30.3,888.0,102.85,130.05,1.0,-3.9275,53.144753,-12.0775,0.0,35.1,1.6401219,1.7
2023-01-01 22:00:00+00:00,38.3,26.8,748.0,96.55,119.2,6.0,-4.4275,53.646164,-12.4275,0.0,45.0,1.0049876,1.118034
2023-01-01 23:00:00+00:00,34.6,24.2,635.0,88.55,108.55,12.0,-4.6775,56.679546,-11.9775,0.0,69.6,0.8544004,0.42426407
2023-01-02 00:00:00+00:00,43.2,30.2,734.0,69.6,143.4,31.0,-5.5775,65.45956,-11.0275,0.0,72.0,0.5830952,1.0198039
2023-01-02 01:00:00+00:00,41.1,28.8,909.0,74.8,148.2,24.0,-7.3775,64.76826,-12.8775,0.0,88.8,1.3038405,1.8027756
2023-01-02 02:00:00+00:00,42.7,29.9,1158.0,82.35,155.15,15.0,-4.9275,50.343822,-13.6775,0.0,96.0,0.56568545,0.8544004
2023-01-02 03:00:00+00:00,46.9,32.8,1457.0,93.45,164.85,9.0,-4.4775,46.337814,-14.2775,0.0,100.0,1.0816654,0.8062258
2023-01-02 04:00:00+00:00,54.0,37.8,1625.0,102.65,173.75,16.0,-7.0775,65.10257,-12.5275,0.0,100.0,3.2449963,2.8319604
2023-01-02 05:00:00+00:00,76.4,53.6,1767.0,112.6,183.35,28.0,-5.5775,65.45956,-11.0275,0.0,100.0,2.236068,3.3837848
2023-01-02 06:00:00+00:00,95.5,66.8,1833.0,123.15,187.45,41.0,-5.8275,76.006424,-9.3775,0.0,100.0,2.1633308,2.8319604
2023-01-02 07:00:00+00:00,104.5,73.1,1691.0,125.85,174.45,45.0,-5.4275,82.23687,-7.9775,0.0,100.0,1.2806249,1.9697715
2023-01-02 08:00:00+00:00,97.1,68.0,1443.0,126.05,153.4,47.0,-5.0275,83.24981,-7.4275,0.0,100.0,0.50990194,1.5132746
2023-01-02 09:00:00+00:00,99.0,69.4,1270.0,130.6,140.5,43.0,-4.1275,84.65074,-6.3275,0.0,100.0,0.28284273,1.6492423
2023-01-02 10:00:00+00:00,117.6,82.4,1417.0,143.15,157.1,32.0,-2.6775,66.13598,-8.127501,0.0,100.0,0.44721362,1.6278821
2023-01-02 11:00:00+00:00,126.2,88.5,1700.0,159.95,186.8,16.0,-1.9775,58.090816,-9.1275,0.0,68.1,1.0198039,2.5079873
2023-01-02 12:00:00+00:00,139.7,98.0,2317.0,189.6,227.9,6.0,-1.4775,50.94752,-10.3275,0.0,92.100006,0.36055514,1.0816654
2023-01-02 13:00:00+00:00,130.9,91.7,2397.0,182.55,231.3,4.0,-0.9275,42.908447,-11.9775,0.0,62.7,0.4,0.98488575
2023-01-02 14:00:00+00:00,127.6,89.2,2508.0,172.4,236.05,2.0,-2.5774999,45.793293,-12.6775,0.0,59.4,1.2,0.31622776
2023-01-02 15:00:00+00:00,128.5,89.9,2579.0,158.6,238.6,0.0,-1.7275,40.969627,-13.2775,0.0,57.600002,0.50990194,0.56568545
2023-01-02 16:00:00+00:00,122.5,85.7,2533.0,149.4,236.3,0.0,-1.7275,39.98308,-13.5775,0.0,50.4,0.53851646,0.60827625
2023-01-02 17:00:00+00:00,113.9,79.6,2429.0,140.3,231.3,0.0,-2.2775,40.798553,-13.8275,0.0,20.400002,0.60827625,0.36055514
2023-01-02 18:00:00+00:00,101.7,71.2,2199.0,129.05,217.85,0.0,-2.4775,38.942577,-14.5775,0.0,0.6,0.3,0.60827625
2023-01-02 19:00:00+00:00,87.1,60.8,1916.0,122.35,198.7,1.0,-2.6275,36.412334,-15.5275,0.0,6.9,0.44721362,0.6708204
2023-01-02 20:00:00+00:00,73.6,51.6,1563.0,116.5,174.15,1.0,-1.7774999,30.818586,-16.7775,0.0,0.9,0.5,0.7615773
2023-01-02 21:00:00+00:00,61.7,43.2,1166.0,106.6,146.45,6.0,-1.2275,27.212896,-17.7775,0.0,2.6999998,0.8062258,0.14142136
2023-01-02 22:00:00+00:00,54.1,37.8,973.0,93.95,133.55,16.0,-1.3774999,27.052732,-17.9775,0.0,3.6,1.6278821,1.9209373
2023-01-02 23:00:00+00:00,50.6,35.4,836.0,78.95,124.7,29.0,-4.4775,34.20421,-17.927502,0.0,18.900002,2.5019991,2.8319604
2023-01-03 00:00:00+00:00,50.6,35.4,888.0,62.6,161.6,40.0,-3.7275,34.731792,-17.077501,0.0,23.1,1.9416487,3.0
2023-01-03 01:00:00+00:00,47.5,33.2,1020.0,69.15,161.45,32.0,-4.4275,37.851265,-16.677502,0.0,69.3,0.5830952,0.9433981
2023-01-03 02:00:00+00:00,51.2,35.7,1209.0,78.55,161.3,21.0,-2.8775,29.089163,-18.427502,0.0,87.600006,1.0,1.4866068
2023-01-03 03:00:00+00:00,58.6,41.0,1467.0,90.85,162.6,12.0,-7.9775,48.00399,-17.077501,0.0,70.8,1.4142135,1.7262677
2023-01-03 04:00:00+00:00,69.2,48.4,1679.0,99.4,167.9,17.0,-3.2275,53.344402,-11.3775,0.0,90.00001,1.1313709,2.0
2023-01-03 05:00:00+00:00,88.5,61.9,1901.0,107.8,175.05,27.0,-1.1775,64.9659,-6.9275,0.0,89.4,1.3453624,3.8587563
2023-01-03 06:00:00+00:00,104.3,73.1,2030.0,113.95,175.55,39.0,1.5725,47.96285,-8.2775,0.0,90.00001,1.2206556,2.0880613
2023-01-03 07:00:00+00:00,89.2,62.4,1860.0,110.45,159.55,44.0,-0.1275,69.293396,-5.0775,0.0,76.200005,1.9646883,2.7730849
2023-01-03 08:00:00+00:00,89.2,62.4,1549.0,102.6,135.45,48.0,-0.4275,72.171616,-4.8275,0.0,90.90001,2.1023796,3.8275316
